,German,English
139,kommen,come
140,dein,your
141,heute,today
142,kommt,comes
143,wollen,want
144,damit,in order to
145,ganz,quite
146,wäre,were
147,wollte,wanted to
148,weißt,whisper
149,ok,OK
150,sicher,for sure
151,gesagt,said
152,frau,Mrs
153,nun,well
154,bis,until
155,wurde,became
156,leid,suffering
157,na,n / A
158,kannst,can
159,macht,power
160,dieser,this
161,zurück,return
162,lassen,permit
163,hallo,Hello
164,meinen,say
165,gott,God
166,seine,his
167,hätte,would have
168,zwei,two
169,könnte,could
170,genau,precisely
171,waren,was
172,zur,to the
173,lass,let
174,klar,clear
175,morgen,morning
176,leute,people
177,vater,father
178,schön,Nice
179,glaube,faith
180,mr.,mr.
181,ab,away
182,gerade,just
183,tag,Day
184,gesehen,seen
185,reden,talk
186,wohl,well
187,liebe,love
188,sollte,should
189,sagte,said
190,unsere,our
191,jemand,someone
192,geld,money
193,durch,by
194,ob,if
195,keinen,none
196,mutter,mother
197,raus,Out
198,gemacht,made
199,paar,pair
200,mach,make up
201,passiert,happened
202,dachte,thought
203,besser,better
204,musst,must
205,wieso,how come
206,sir,sir
207,dieses,this
208,selbst,self
209,gehört,heard
210,möchte,would like to
211,ohne,without
212,hör,hear
213,her,on
214,sag,say
215,meiner,mine
216,anderen,others
217,helfen,help
218,nacht,night
219,finden,Find
220,diesen,this
221,gute,quality
222,wirst,become
223,lange,Long
224,natürlich,Naturally
225,ach,Oh
226,meinem,my
227,gar,at all
228,ins,into the
229,sei,may be
230,dort,there
231,weiter,Further
232,geben,give
233,seit,since
234,gleich,same
235,sagt,says
236,recht,Law
237,ihren,their
238,richtig,correct
239,ordnung,order
240,vom,from the
241,hören,hear
242,sieht,sees
243,davon,of that
244,dafür,Therefore
245,geh,go
246,diesem,This
247,wegen,because
248,hause,home
249,sollten,should
250,mädchen,girl
251,hin,there
252,sollen,should
253,abend,evening
254,haus,House
255,denke,think
256,viele,many
257,drei,three
258,deinen,yours
259,freund,friend
260,guten,good
261,unser,our
262,warte,wait
263,machst,make
264,menschen,people
265,essen,eat
266,angst,anxiety
267,bleiben,stay
268,zusammen,together
269,welt,world
270,unter,under
271,habt,have
272,schnell,fast
273,andere,other
274,tot,dead
275,getan,did
276,darf,allowed
277,erst,first
278,rein,pure
279,stimmt,Right
280,nehmen,to take
281,kinder,children
282,eines,one
283,glauben,believe
284,bringen,bring
285,ganze,whole
286,genug,enough
287,scheiße,crap
288,brauchen,to need
289,gegen,against
290,moment,moment
291,junge,Boy
292,steht,stands
293,sonst,otherwise
294,musik,music
295,arbeit,job
296,seid,are
297,ihrer,of their
298,fragen,ask
299,herr,Mr
300,dabei,included
301,heißt,called
302,familie,family
303,warten,wait
304,niemand,nobody
305,sofort,immediately
306,bevor,before
307,jahre,years
308,einmal,once
309,problem,problem
310,sohn,son
311,wann,when
312,brauche,need
313,fertig,done
314,halt,stop
315,allein,alone
316,beim,at the
317,sprechen,speak
318,beide,both
319,gefunden,found
320,hatten,had
321,sache,Thing
322,hilfe,help
323,verdammt,Damn it
324,ne,ne
325,jeder,everyone
326,warst,wicked
327,gern,gladly
328,konnte,could
329,darüber,about that
330,halten,keep
331,siehst,see
332,verstehe,understand
333,jahren,Years
334,kam,came
335,kind,child
336,wusste,knew
337,wahr,true
338,seinen,his
339,dazu,to
340,bruder,brothers
341,daran,to it
342,ihrem,Yours
343,denken,think
344,könnten,could
345,dank,thanks to
346,lieber,rather
347,fall,case
348,deiner,yours
349,sehe,see
350,egal,no matter
351,kennen,know
352,deinem,your
353,vergessen,forget
354,frage,question
355,mache,make
356,komme,come
357,sage,legend
358,mag,like
359,sieh,look
360,echt,real
361,gib,give
362,eigentlich,actually
363,jeden,every
364,dad,dad
365,gab,gave
366,uhr,clock
367,stadt,city
368,männer,men
369,baby,infant
370,fahren,travel
371,namen,name
372,bekommen,receive
373,kopf,head
374,hi,Hi
375,gehe,go
376,kleine,small
377,später,later
378,glück,happiness
379,letzte,last
380,freunde,friends
381,n,n
382,all,Alles
383,darauf,thereon
384,ende,end
385,dr.,Dr.
386,bald,soon
387,töten,kill
388,dinge,things
389,meinst,mean
390,toll,Great
391,eins,one
392,minuten,minute
393,vielen,many
394,bereit,ready
395,weit,far
396,ahnung,idea
397,seiner,his
398,bisschen,little
399,tür,door
400,auto,automobile
401,jungs,guys
402,eure,your
403,augen,eyes
404,polizei,police
405,stehen,stand
406,sterben,die
407,hätten,have
408,draußen,outdoors
409,kenne,know
410,fast,nearly
411,runter,down
412,vorbei,past
413,treffen,meet
414,gerne,gladly
415,dran,your turn
416,wurden,became
417,arbeiten,work
418,mom,Mom
419,verrückt,crazy
420,neue,new
421,ging,went
422,hinter,Behind
423,sorgen,care for
424,einzige,only one
425,jemanden,someone
426,darum,therefore
427,tochter,daughter
428,braucht,needs
429,idee,idea
430,schwester,sister
431,drin,in it
432,ruhig,quiet
433,sah,saw
434,ganzen,entire
435,spät,late
436,ziemlich,quite
437,solltest,ward
438,name,Surname
439,sogar,even
440,kurz,short
441,kerl,Guy
442,frauen,women
443,liegt,lies
444,suchen,Looking for
445,finde,find
446,je,ever
447,woher,where
448,lang,long
449,job,job
450,keiner,none
451,seinem,his
452,hört,hearing
453,verstehen,to understand
454,spielen,to play
455,s.,S.
456,überhaupt,at all
457,teufel,Devil
458,verstanden,Understood
459,verloren,lost
460,große,size
461,hand,hand
462,grund,reason
463,jahr,year
464,kommst,come
465,mama,mummy
466,ruhe,Quiet
467,gewesen,been
468,tod,death
469,stunden,hours
470,hoffe,hope
471,denkst,think
472,oben,above
473,gestern,yesterday
474,versuchen,try
475,art,kind
476,letzten,last
477,schatz,sweetheart
478,endlich,at last
479,he,head
480,nimm,take
481,etwa,approximately
482,erzählt,told
483,läuft,runs
484,schwer,heavy
485,anders,different
486,miss,miss
487,musste,had to
488,fünf,five
489,wasser,water
490,lässt,leaves
491,erste,first
492,versucht,tries
493,gekommen,came
494,geschichte,story
495,wenig,little
496,holen,to fetch
497,bedeutet,means
498,nett,kind
499,wahrheit,truth
500,woche,week
501,bringt,brings
502,deshalb,for this reason
503,welche,Which
504,bestimmt,certainly
505,hoch,high
506,alter,age
507,sagst,tell
508,schau,look
509,ah,Ah
510,land,country
511,zimmer,room
512,wagen,dare
513,vier,four
514,gefallen,please
515,spaß,fun
516,niemals,No way
517,schuld,blame
518,getötet,killed
519,wollten,wanted to
520,verlassen,leaving
521,zeigen,demonstrate
522,beste,best
523,ernst,serious
524,unserer,our
525,denen,to them
526,ort,location
527,bleibt,remain
528,würdest,thought
529,manchmal,sometimes
530,glaubst,believe
531,seite,page
532,lasst,leaves
533,zwischen,between
534,eben,just
535,während,while
536,spiel,game
537,nehme,take
538,ersten,first
539,guter,goods
540,chance,chance
541,freundin,girlfriend
542,krieg,war
543,gefällt,pleases
544,kleinen,small
545,erzählen,tell
546,anderes,other
547,tage,day
548,entschuldigen,to apologize
549,wichtig,important
550,gehst,go
551,allen,all
552,bett,bed
553,mrs.,MRS.
554,sachen,Things
555,the,the
556,schlecht,bad
557,schule,school
558,entschuldigung,Excuse me
559,wort,word
560,john,John
561,hättest,had
562,wären,be
563,typ,Type
564,schlafen,sleep
565,äh,Ah
566,tu,tu
567,euer,your
568,captain,captain
569,gesicht,face
570,falls,if
571,neuen,new
572,bloß,just
573,unten,below
574,teil,part
575,beiden,both
576,mensch,person
577,kleiner,smaller
578,stellen,place
579,oft,often
580,sorge,worries
581,gedacht,thought
582,tust,tu
583,trinken,to drink
584,einige,some
585,dies,this
586,ding,thing
587,unseren,Our
588,kriegen,get
589,blut,blood
590,ehrlich,honest
591,eltern,parents
592,scheint,appears
593,herz,heart
594,jack,Jack
595,glücklich,happy
596,alte,old
597,alt,old
598,bleib,stay
599,wiedersehen,reunion
600,frei,free
601,wen,whom
602,drauf,on it
603,möglich,possible
604,irgendwie,somehow
605,reicht,enough
606,fest,fixed
607,besten,best
608,waffe,weapon
609,kaum,barely
610,irgendwas,anything
611,klingt,sound
612,platz,place
613,brauchst,need
614,rede,speech
615,papa,father
616,falsch,not correct
617,sondern,but
618,alten,old
619,nummer,number
620,früher,previously
621,jungen,boys
622,wohin,where
623,außer,except
624,früh,early
625,setzen,set
626,zuerst,first
627,wahrscheinlich,probably
628,dürfen,to be allowed to
629,jede,every
630,arsch,ass
631,telefon,phone
632,tue,do
633,kennst,know
634,willkommen,welcome
635,plan,plan
636,großen,huge
637,retten,save
638,hierher,here
639,wär,would be
640,bring,bring
641,fehler,failure
642,wollt,want
643,dollar,dollar
644,zehn,ten
645,allem,all
646,pass,passport
647,nächste,next
648,stunde,hour
649,hände,hands
650,gegeben,given
651,menge,lot
652,langsam,slow
653,bereits,already
654,wartet,wait
655,sechs,six
656,lieben,love
657,meines,mine
658,büro,office
659,nächsten,next
660,gebe,giving
661,wochen,weekly
662,ruf,call
663,schaffen,create
664,leider,Unfortunately
665,scheiß,shit
666,hölle,hell
667,trotzdem,despite this
668,doktor,doctor
669,tja,well
670,new,New
671,voll,fully
672,film,Movie
673,überall,all over
674,hund,dog
675,geworden,become
676,direkt,direct
677,wolltest,wanted
678,tat,did
679,denkt,thinks
680,schiff,ship
681,neues,new
682,wem,whom
683,könig,king
684,danach,thereafter
685,funktioniert,functions
686,lernen,to learn
687,deswegen,because of this
688,wow,Wow
689,nennen,to name
690,hm,Hm
691,feuer,Fire
692,laufen,to run
693,alleine,alone
694,erinnern,recall
695,völlig,fully
696,kleines,small
697,könnt,can
698,stelle,Job
699,kumpel,Dude
700,verlieren,lose
701,probleme,problems
702,spricht,speaks
703,kaffee,coffee
704,luft,air
705,fand,found
706,i,I
707,entschuldige,Excuse me
708,ziehen,draw
709,verschwinden,disappear
710,könntest,could
711,seht,look
712,aufhören,stop
713,eigenen,own
714,richtige,right one
715,unserem,ours
716,suche,seek
717,zwar,though
718,groß,great
719,hol,hold
720,buch,a book
721,krank,ill
722,fühle,feel
723,jedes,each
724,verstehst,understand
725,wert,value
726,arzt,doctor
727,froh,joyful
728,versuche,try
729,straße,Street
730,rufen,call
731,heiraten,marry
732,super,Super
733,sam,sam
734,lebt,lives
735,gutes,good
736,lasse,laser
737,onkel,uncle
738,total,total
739,gebracht,brought
740,party,party
741,erklären,explain
742,spielt,play
743,wahl,choice
744,vertrauen,to trust
745,damals,back then
746,tagen,days
747,leicht,easy
748,nachdem,after this
749,gegangen,went
750,gefühl,feeling
751,kaufen,to buy
752,geschafft,made
753,typen,types
754,interessiert,Interested
755,möchten,want
756,halte,hold
757,hält,hold
758,glaub,belie
759,irgendwo,somewhere
760,stück,piece
761,genauso,just like that
762,kennt,knows
763,genommen,taken
764,zukunft,future
765,weniger,fewer
766,cool,cool
767,licht,light
768,getroffen,met
769,himmel,sky
770,nachricht,news
771,drüben,over there
772,passt,fits
773,sagten,told
774,kümmern,To take care of
775,laut,according to
776,vergiss,forget
777,angerufen,called
778,sitzen,sit
779,daß,that
780,erde,Earth
781,großer,greater
782,schlüssel,key
783,rest,rest
784,passieren,happen
785,eher,rather
786,gefragt,asked
787,gefängnis,jail
788,opfer,victim
789,körper,body
790,solche,such
791,mist,damn
792,mr,mr
793,findet,find
794,schreiben,to write
795,böse,angry
796,gesprochen,spoken
797,versuch,attempt
798,vorstellen,introduce
799,wovon,About what
800,sobald,as soon as
801,nochmal,once again
802,herren,Men's
803,sex,sex
804,waffen,weapons
805,wohnung,apartment
806,weh,sore
807,heißen,mean
808,krankenhaus,hospital
809,bringe,bring
810,höre,hear
811,millionen,millions
812,klasse,Great
813,hart,hard
814,worden,has been
815,sinn,sense
816,außerdem,aside from that
817,verletzt,hurt
818,ändern,change
819,erfahren,Experienced
820,tragen,wear
821,wenigstens,at least
822,vorsichtig,carefully
823,daddy,daddy
824,stolz,proud
825,stark,strong
826,fällt,fall
827,möchtest,want
828,leuten,people
829,besonders,particularly
830,schöne,lovely
831,schicken,send
832,person,person
833,schätze,treasures
834,solange,so long
835,länger,longer
836,großartig,Great
837,lacht,laugh
838,anrufen,call
839,stand,was standing
840,redest,talk
841,fühlen,feel
842,erwartet,expected
843,boden,floor
844,boss,boss
845,stimme,voice
846,glaubt,believe
847,still,quiet
848,sicherheit,safety
849,setz,sitting
850,ma,ma
851,mund,mouth
852,kämpfen,battle
853,wisst,scoff
854,lachen,laugh
855,hörst,hear
856,zeug,things
857,lustig,fun
858,umbringen,kill
859,sollst,shorter
860,schlimm,terrible
861,o,O
862,unglaublich,incredible
863,wärst,be
864,laden,load
865,führen,to lead
866,gestorben,died
867,schauen,look
868,meinung,opinion
869,lesen,read
870,mörder,murderer
871,frank,frank
872,ähm,um
873,geschehen,happen
874,geschäft,shop
875,idiot,idiot
876,verzeihung,forgiveness
877,fliegen,to fly
878,zeig,show
879,team,team
880,general,general
881,mike,mike
882,aufs,onto
883,york,York
884,vorher,before
885,schluss,Enough
886,schneller,more quickly
887,liebt,loving
888,verdient,deserved
889,mögen,to like
890,meisten,most
891,denk,think
892,umgebracht,killed
893,perfekt,Perfect
894,versprochen,promised
895,handy,mobile
896,hinten,rear
897,monate,months
898,erinnere,recall
899,acht,eight
900,arbeitet,is working
901,fallen,fall
902,rufe,call
903,nötig,necessary
904,a,a
905,mord,murder
906,heraus,out
907,tages,day
908,unmöglich,not possible
909,liebling,Darling
910,charlie,Charlie
911,tatsächlich,In fact
912,folgen,follow
913,bitten,ask
914,behalten,keep
915,nähe,vicinity
916,arbeite,work
917,verdammte,damn
918,plötzlich,suddenly
919,lebens,life
920,hole,go
921,tisch,table
922,michael,Michael
923,hörte,heard
924,jemals,ever
925,liegen,lie
926,verkaufen,Selling
927,gefährlich,dangerous
928,anfangen,begin
929,bekommt,receives
930,machte,bother
931,ha,Ha
932,hotel,hotel
933,hilft,help
934,werdet,become
935,meister,master
936,kampf,struggle
937,antwort,answer
938,konnten,could
939,geschickt,sent
940,jedem,each
941,obwohl,although
942,sieben,seven
943,komisch,funny
944,gewinnen,to win
945,ihres,Yours
946,bezahlt,paid
947,you,you
948,voller,full of
949,unterwegs,On the way
950,dumm,stupid
951,ärger,trouble
952,bild,image
953,george,George
954,neu,New
955,bezahlen,pay
956,dagegen,against it
957,seien,be
958,starb,died
959,tom,Tom
960,monaten,monthly
961,leiche,corpse
962,niemanden,no one
963,auge,eye
964,arschloch,asshole
965,verheiratet,married
966,peter,Peter
967,zieh,pull
968,nimmt,takes
969,gerettet,saved
970,agent,agent
971,traum,dream
972,entscheidung,decision
973,schlimmer,worse
974,regeln,rules
975,fenster,window
976,fangen,catch
977,fort,forth
978,ständig,constant
979,findest,find
980,gefahr,danger
981,absolut,absolutely
982,mary,Mary
983,augenblick,moment
984,bescheid,notice
985,rum,rum
986,gedanken,thoughts
987,werd,be
988,ziel,target
989,benutzt,used
990,bewegung,Move
991,jemandem,someone
992,wünschte,wished
993,worte,words
